twa/tws;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
137;0;1.442;2.884;4.325;5.767;6.657;7.399;8.114;8.786;9.542;10.321;11.561;12.149;12.908;14.198;15.802;17.232;18.338;19.524;20.23;21.123;22.184;23.296;24.18;25.463;26.036;26.106;26.21;26.172;26.255;26.234;26.247;26.26;26.274;26.291;26.307;26.097;25.886;25.676;25.507;25.379;25.203;25.027;24.85;24.674;24.497;24.321;24.145;23.968;23.792;23.616;23.439;23.263;23.087;22.91;22.734;22.557;22.381;22.205;22.028;21.852;20.977;20.102;19.227;18.352;17.477;16.602;15.727;14.852;13.977;13.103
138;0;1.422;2.844;4.265;5.687;6.593;7.275;8.024;8.706;9.465;10.261;11.397;11.974;12.772;13.975;15.53;17.076;18.182;19.312;20.024;20.904;22.003;23.122;24.023;25.39;25.963;26.05;26.165;26.109;26.182;26.182;26.203;26.224;26.245;26.266;26.287;26.055;25.847;25.643;25.464;25.363;25.181;24.999;24.817;24.636;24.454;24.272;24.091;23.909;23.727;23.545;23.364;23.182;23;22.819;22.637;22.455;22.273;22.092;21.91;21.728;20.866;20.004;19.142;18.279;17.417;16.555;15.693;14.83;13.968;13.106
139;0;1.402;2.803;4.205;5.607;6.53;7.151;7.934;8.626;9.388;10.201;11.234;11.799;12.636;13.752;15.257;16.919;18.025;19.1;19.819;20.685;21.822;22.949;23.877;25.337;25.89;25.995;26.12;26.047;26.109;26.13;26.159;26.189;26.218;26.247;26.276;26.082;25.888;25.694;25.5;25.346;25.159;24.972;24.785;24.598;24.411;24.223;24.036;23.849;23.662;23.475;23.288;23.101;22.914;22.727;22.54;22.353;22.166;21.979;21.792;21.605;20.755;19.906;19.056;18.206;17.357;16.507;15.658;14.808;13.959;13.109
140;0;1.384;2.768;4.152;5.537;6.429;7.021;7.843;8.546;9.308;10.13;11.083;11.637;12.494;13.547;14.999;16.669;17.869;18.891;19.6;20.466;21.634;22.761;23.721;25.254;25.796;25.911;26.036;25.974;26.026;26.068;26.099;26.13;26.161;26.193;26.224;26.043;25.862;25.68;25.498;25.316;25.123;24.931;24.738;24.545;24.353;24.16;23.968;23.775;23.583;23.39;23.197;23.005;22.812;22.62;22.427;22.235;22.042;21.849;21.657;21.464;20.63;19.795;18.961;18.126;17.292;16.457;15.623;14.788;13.954;13.119
141;0;1.367;2.733;4.1;5.466;6.329;6.901;7.733;8.455;9.238;10.07;10.933;11.485;12.361;13.362;14.75;16.408;17.712;18.693;19.412;20.174;21.488;22.573;23.376;24.931;25.421;25.65;25.723;25.88;25.932;26.005;26.036;26.068;26.099;26.13;26.161;25.987;25.812;25.637;25.462;25.286;25.085;24.884;24.684;24.483;24.283;24.082;23.881;23.681;23.48;23.28;23.079;22.878;22.678;22.477;22.277;22.076;21.875;21.675;21.474;21.274;20.459;19.645;18.83;18.016;17.201;16.387;15.573;14.758;13.944;13.129
142;0;1.352;2.703;4.055;5.406;6.229;6.79;7.643;8.375;9.157;10;10.782;11.344;12.229;13.177;14.502;16.158;17.462;18.432;19.131;19.882;21.165;22.26;23.032;24.555;25.045;25.275;25.369;25.775;25.828;25.932;25.965;25.999;26.032;26.065;26.099;25.931;25.763;25.594;25.425;25.256;25.049;24.842;24.636;24.429;24.222;24.016;23.809;23.603;23.396;23.189;22.983;22.776;22.57;22.363;22.156;21.95;21.743;21.536;21.33;21.123;20.325;19.526;18.728;17.93;17.131;16.333;15.534;14.736;13.938;13.139
143;0;1.334;2.668;4.002;5.336;6.128;6.67;7.553;8.275;9.077;9.859;10.622;11.202;12.086;13.003;14.253;15.918;17.222;18.171;18.86;19.59;20.862;21.947;22.698;24.2;24.691;24.92;25.004;25.473;25.702;25.849;25.884;25.919;25.955;25.99;26.026;25.865;25.704;25.541;25.379;25.215;25.006;24.797;24.588;24.379;24.17;23.961;23.752;23.542;23.333;23.124;22.915;22.706;22.497;22.288;22.079;21.869;21.66;21.451;21.242;21.033;20.243;19.452;18.662;17.871;17.081;16.291;15.5;14.71;13.92;13.129
144;0;1.316;2.633;3.949;5.266;6.028;6.55;7.472;8.195;8.957;9.729;10.471;11.071;11.964;12.838;14.015;15.668;16.972;17.91;18.599;19.319;20.56;21.634;22.364;23.835;24.326;24.565;24.659;25.129;25.504;25.765;25.801;25.836;25.871;25.907;25.942;25.788;25.634;25.478;25.322;25.165;24.951;24.737;24.523;24.309;24.095;23.88;23.666;23.452;23.238;23.024;22.81;22.596;22.381;22.167;21.953;21.739;21.525;21.311;21.097;20.882;20.107;19.332;18.557;17.781;17.006;16.231;15.455;14.68;13.905;13.129
145;0;1.299;2.598;3.897;5.196;5.928;6.439;7.392;8.114;8.836;9.599;10.321;10.949;11.841;12.684;13.787;15.428;16.732;17.66;18.338;19.037;20.257;21.332;22.052;23.491;23.981;24.232;24.315;24.805;25.223;25.671;25.709;25.746;25.784;25.821;25.859;25.712;25.564;25.415;25.265;25.115;24.893;24.672;24.45;24.228;24.007;23.785;23.563;23.342;23.12;22.898;22.677;22.455;22.234;22.012;21.79;21.569;21.347;21.125;20.904;20.682;19.926;19.169;18.413;17.657;16.901;16.144;15.388;14.632;13.876;13.119
146;0;1.281;2.563;3.844;5.125;5.827;6.329;7.312;8.034;8.716;9.458;10.17;10.818;11.719;12.53;13.56;15.188;16.502;17.41;18.088;18.776;19.976;21.029;21.718;23.136;23.637;23.898;23.992;24.482;24.878;25.358;25.44;25.521;25.602;25.684;25.765;25.625;25.484;25.342;25.199;25.055;24.829;24.604;24.378;24.152;23.927;23.701;23.475;23.25;23.024;22.798;22.573;22.347;22.121;21.895;21.67;21.444;21.218;20.993;20.767;20.541;19.799;19.057;18.315;17.573;16.83;16.088;15.346;14.604;13.861;13.119
147;0;1.264;2.528;3.791;5.055;5.732;6.219;7.222;7.939;8.601;9.328;10.025;10.692;11.581;12.381;13.337;14.958;16.273;17.17;17.832;18.51;19.694;20.737;21.405;22.797;23.293;23.575;23.674;24.174;24.555;25.061;25.182;25.303;25.424;25.545;25.666;25.532;25.396;25.26;25.123;24.985;24.755;24.525;24.295;24.065;23.835;23.605;23.375;23.145;22.915;22.685;22.455;22.225;21.996;21.766;21.536;21.306;21.076;20.846;20.616;20.386;19.657;18.928;18.198;17.469;16.74;16.011;15.282;14.553;13.823;13.094
148;0;1.246;2.492;3.739;4.985;5.637;6.108;7.131;7.843;8.485;9.198;9.88;10.565;11.444;12.232;13.115;14.729;16.043;16.93;17.577;18.244;19.412;20.445;21.092;22.458;22.949;23.251;23.355;23.867;24.232;24.764;24.924;25.085;25.246;25.406;25.567;25.439;25.309;25.179;25.047;24.915;24.68;24.446;24.212;23.978;23.744;23.509;23.275;23.041;22.807;22.573;22.338;22.104;21.87;21.636;21.402;21.167;20.933;20.699;20.465;20.231;19.514;18.798;18.082;17.366;16.65;15.934;15.218;14.501;13.785;13.069
149;0;1.231;2.462;3.694;4.925;5.537;6.008;7.011;7.743;8.365;9.077;9.739;10.434;11.301;12.078;12.908;14.499;15.814;16.69;17.337;17.994;19.131;20.164;20.8;22.135;22.636;22.949;23.053;23.585;23.95;24.482;24.666;24.849;25.033;25.216;25.4;25.289;25.178;25.065;24.95;24.834;24.595;24.356;24.117;23.877;23.638;23.399;23.16;22.921;22.681;22.442;22.203;21.964;21.724;21.485;21.246;21.007;20.768;20.528;20.289;20.05;19.347;18.644;17.941;17.238;16.534;15.831;15.128;14.425;13.722;13.019
150;0;1.214;2.427;3.641;4.855;5.436;5.898;6.901;7.623;8.235;8.937;9.579;10.282;11.138;11.904;12.69;14.259;15.574;16.44;17.065;17.723;18.839;19.851;20.476;21.77;22.281;22.636;22.75;23.282;23.658;24.19;24.369;24.549;24.728;24.908;25.087;24.985;24.882;24.777;24.671;24.563;24.329;24.094;23.859;23.625;23.39;23.155;22.921;22.686;22.451;22.216;21.982;21.747;21.512;21.278;21.043;20.808;20.574;20.339;20.104;19.869;19.175;18.481;17.787;17.093;16.399;15.705;15.011;14.317;13.623;12.929
151;0;1.195;2.389;3.584;4.778;5.33;5.785;6.794;7.502;8.104;8.796;9.422;10.132;10.971;11.725;12.469;14.02;15.334;16.185;16.803;17.458;18.551;19.544;20.151;21.415;21.933;22.314;22.438;22.978;23.37;23.896;24.074;24.251;24.429;24.607;24.785;24.688;24.591;24.491;24.391;24.289;24.032;23.803;23.575;23.346;23.118;22.889;22.66;22.432;22.203;21.975;21.746;21.518;21.289;21.06;20.832;20.603;20.375;20.146;19.917;19.689;19.005;18.32;17.636;16.952;16.268;15.583;14.899;14.215;13.531;12.846
152;0;1.176;2.351;3.527;4.702;5.224;5.673;6.688;7.382;7.974;8.656;9.266;9.983;10.804;11.546;12.247;13.78;15.094;15.931;16.54;17.193;18.263;19.237;19.826;21.061;21.584;21.993;22.125;22.673;23.082;23.602;23.778;23.954;24.13;24.306;24.482;24.391;24.299;24.206;24.11;24.014;23.735;23.513;23.29;23.068;22.845;22.623;22.4;22.178;21.955;21.733;21.511;21.288;21.066;20.843;20.621;20.398;20.176;19.953;19.731;19.508;18.834;18.16;17.485;16.811;16.136;15.462;14.787;14.113;13.439;12.764
153;0;1.156;2.313;3.469;4.626;5.117;5.561;6.582;7.262;7.843;8.515;9.109;9.833;10.637;11.368;12.026;13.54;14.854;15.676;16.277;16.928;17.975;18.931;19.5;20.706;21.236;21.672;21.812;22.369;22.794;23.307;23.482;23.656;23.831;24.005;24.18;24.095;24.008;23.92;23.83;23.739;23.438;23.222;23.006;22.789;22.573;22.357;22.14;21.924;21.708;21.491;21.275;21.059;20.842;20.626;20.41;20.193;19.977;19.761;19.544;19.328;18.663;17.999;17.334;16.669;16.005;15.34;14.676;14.011;13.347;12.682
154;0;1.137;2.275;3.412;4.55;5.011;5.448;6.475;7.141;7.713;8.375;8.953;9.684;10.47;11.189;11.804;13.3;14.614;15.421;16.014;16.663;17.687;18.624;19.175;20.351;20.887;21.351;21.499;22.064;22.506;23.013;23.186;23.359;23.532;23.704;23.877;23.798;23.717;23.634;23.55;23.464;23.142;22.931;22.721;22.511;22.301;22.09;21.88;21.67;21.46;21.25;21.039;20.829;20.619;20.409;20.198;19.988;19.778;19.568;19.357;19.147;18.493;17.838;17.183;16.528;15.873;15.219;14.564;13.909;13.254;12.6
155;0;1.118;2.237;3.355;4.473;4.905;5.336;6.369;7.021;7.583;8.235;8.796;9.534;10.303;11.01;11.583;13.06;14.374;15.167;15.751;16.398;17.399;18.317;18.849;19.997;20.539;21.029;21.186;21.759;22.218;22.719;22.89;23.061;23.232;23.403;23.575;23.501;23.425;23.348;23.27;23.189;22.845;22.641;22.437;22.232;22.028;21.824;21.62;21.416;21.212;21.008;20.804;20.6;20.396;20.191;19.987;19.783;19.579;19.375;19.171;18.967;18.322;17.677;17.032;16.387;15.742;15.097;14.452;13.807;13.162;12.517
156;0;1.106;2.213;3.319;4.425;4.836;5.268;6.289;6.939;7.5;8.148;8.7;9.435;10.193;10.889;11.452;12.912;14.228;15.013;15.59;16.239;17.224;18.132;18.653;19.778;20.33;20.844;21.004;21.586;22.054;22.55;22.717;22.883;23.05;23.216;23.383;23.31;23.235;23.158;23.08;23.001;22.586;22.389;22.193;21.996;21.8;21.603;21.407;21.21;21.014;20.817;20.621;20.424;20.228;20.031;19.835;19.638;19.442;19.245;19.049;18.852;18.21;17.568;16.925;16.283;15.641;14.998;14.356;13.714;13.071;12.429
157;0;1.094;2.189;3.283;4.377;4.768;5.2;6.209;6.857;7.418;8.062;8.604;9.336;10.082;10.768;11.322;12.764;14.082;14.858;15.43;16.081;17.049;17.946;18.457;19.559;20.122;20.658;20.823;21.413;21.889;22.381;22.543;22.705;22.867;23.029;23.191;23.118;23.044;22.969;22.891;22.812;22.382;22.138;21.949;21.76;21.571;21.382;21.193;21.004;20.816;20.627;20.438;20.249;20.06;19.871;19.682;19.494;19.305;19.116;18.927;18.738;18.098;17.459;16.819;16.179;15.539;14.9;14.26;13.62;12.981;12.341
158;0;1.082;2.164;3.247;4.329;4.7;5.131;6.128;6.774;7.336;7.976;8.507;9.237;9.972;10.647;11.191;12.615;13.936;14.704;15.269;15.922;16.874;17.76;18.261;19.339;19.913;20.472;20.641;21.24;21.724;22.212;22.369;22.527;22.684;22.841;22.999;22.927;22.854;22.779;22.702;22.624;22.199;21.886;21.705;21.524;21.342;21.161;20.98;20.799;20.617;20.436;20.255;20.074;19.892;19.711;19.53;19.349;19.167;18.986;18.805;18.624;17.987;17.349;16.712;16.075;15.438;14.801;14.164;13.527;12.89;12.253
159;0;1.07;2.14;3.211;4.281;4.632;5.063;6.048;6.692;7.254;7.89;8.411;9.138;9.862;10.525;11.061;12.467;13.79;14.549;15.109;15.764;16.698;17.574;18.065;19.12;19.705;20.287;20.46;21.067;21.559;22.043;22.196;22.349;22.501;22.654;22.807;22.736;22.663;22.589;22.513;22.435;22.015;21.635;21.461;21.287;21.114;20.94;20.766;20.593;20.419;20.246;20.072;19.898;19.725;19.551;19.377;19.204;19.03;18.857;18.683;18.509;17.875;17.24;16.606;15.971;15.337;14.702;14.068;13.433;12.799;12.164
160;0;1.058;2.116;3.174;4.233;4.564;4.995;5.968;6.61;7.171;7.803;8.315;9.039;9.752;10.404;10.931;12.319;13.644;14.395;14.948;15.605;16.523;17.389;17.869;18.901;19.496;20.101;20.278;20.894;21.394;21.874;22.022;22.17;22.319;22.467;22.615;22.544;22.472;22.399;22.323;22.247;21.832;21.417;21.217;21.051;20.885;20.719;20.553;20.387;20.221;20.055;19.889;19.723;19.557;19.391;19.225;19.059;18.893;18.727;18.561;18.395;17.763;17.131;16.499;15.867;15.236;14.604;13.972;13.34;12.708;12.076
161;0;1.046;2.091;3.137;4.183;4.498;4.925;5.888;6.525;7.086;7.718;8.22;8.93;9.625;10.262;10.768;12.126;13.446;14.189;14.735;15.389;16.283;17.135;17.602;18.61;19.208;19.837;20.024;20.637;21.146;21.624;21.767;21.911;22.054;22.197;22.341;22.288;22.233;22.177;22.12;22.061;21.651;21.242;20.948;20.791;20.634;20.477;20.32;20.163;20.006;19.849;19.692;19.535;19.378;19.221;19.065;18.908;18.751;18.594;18.437;18.28;17.651;17.022;16.393;15.764;15.135;14.506;13.878;13.249;12.62;11.991
162;0;1.033;2.066;3.099;4.132;4.433;4.855;5.807;6.439;7.001;7.633;8.124;8.822;9.498;10.12;10.606;11.935;13.249;13.984;14.522;15.175;16.044;16.882;17.338;18.321;18.922;19.574;19.77;20.381;20.899;21.375;21.513;21.652;21.791;21.93;22.068;22.032;21.995;21.956;21.917;21.875;21.471;21.066;20.679;20.531;20.383;20.236;20.088;19.94;19.792;19.644;19.496;19.348;19.2;19.052;18.904;18.756;18.608;18.46;18.312;18.164;17.538;16.913;16.287;15.661;15.035;14.409;13.783;13.157;12.531;11.906
163;0;1.022;2.044;3.067;4.089;4.371;4.794;5.727;6.357;6.922;7.554;8.036;8.719;9.375;9.983;10.458;11.756;13.067;13.791;14.322;14.975;15.829;16.652;17.097;18.054;18.663;19.338;19.537;20.151;20.677;21.144;21.277;21.409;21.542;21.675;21.807;21.788;21.768;21.747;21.725;21.702;21.302;20.903;20.504;20.264;20.128;19.991;19.855;19.718;19.581;19.445;19.308;19.172;19.035;18.899;18.762;18.625;18.489;18.352;18.216;18.079;17.454;16.83;16.205;15.58;14.956;14.331;13.706;13.081;12.457;11.832
164;0;1.011;2.023;3.034;4.045;4.31;4.734;5.647;6.275;6.844;7.476;7.947;8.617;9.252;9.845;10.311;11.579;12.886;13.598;14.122;14.776;15.615;16.423;16.858;17.789;18.405;19.104;19.306;19.922;20.456;20.915;21.041;21.168;21.295;21.421;21.548;21.546;21.543;21.539;21.534;21.528;21.134;20.74;20.346;19.997;19.872;19.747;19.622;19.496;19.371;19.246;19.121;18.995;18.87;18.745;18.62;18.495;18.369;18.244;18.119;17.994;17.37;16.747;16.123;15.5;14.876;14.253;13.629;13.006;12.382;11.759
165;0;1;2.001;3.001;4.002;4.248;4.674;5.567;6.194;6.765;7.397;7.859;8.514;9.13;9.709;10.165;11.402;12.706;13.407;13.924;14.579;15.402;16.195;16.62;17.525;18.149;18.87;19.075;19.694;20.236;20.686;20.807;20.928;21.048;21.169;21.29;21.304;21.318;21.331;21.343;21.354;20.965;20.577;20.189;19.8;19.616;19.502;19.388;19.275;19.161;19.047;18.933;18.819;18.705;18.592;18.478;18.364;18.25;18.136;18.022;17.909;17.286;16.664;16.041;15.419;14.797;14.174;13.552;12.93;12.307;11.685
166;0;0.99;1.979;2.969;3.959;4.186;4.614;5.486;6.112;6.687;7.319;7.77;8.412;9.007;9.573;10.02;11.227;12.527;13.217;13.727;14.382;15.191;15.968;16.383;17.263;17.894;18.638;18.846;19.467;20.017;20.459;20.574;20.689;20.804;20.918;21.033;21.064;21.094;21.123;21.152;21.18;20.797;20.414;20.031;19.648;19.36;19.258;19.155;19.053;18.951;18.848;18.746;18.643;18.541;18.438;18.336;18.233;18.131;18.028;17.926;17.823;17.202;16.581;15.96;15.339;14.717;14.096;13.475;12.854;12.233;11.611
167;0;0.979;1.958;2.936;3.915;4.124;4.554;5.406;6.03;6.608;7.24;7.681;8.31;8.886;9.437;9.875;11.052;12.35;13.028;13.53;14.187;14.98;15.743;16.148;17.002;17.641;18.408;18.617;19.242;19.8;20.233;20.342;20.451;20.56;20.669;20.778;20.824;20.871;20.916;20.961;21.006;20.629;20.251;19.874;19.496;19.132;19.014;18.922;18.831;18.74;18.649;18.558;18.467;18.376;18.285;18.194;18.102;18.011;17.92;17.829;17.738;17.118;16.498;15.878;15.258;14.638;14.018;13.398;12.778;12.158;11.538
168;0;0.968;1.936;2.904;3.872;4.062;4.493;5.326;5.948;6.53;7.161;7.593;8.208;8.764;9.302;9.731;10.879;12.173;12.84;13.335;13.993;14.771;15.519;15.914;16.743;17.39;18.178;18.391;19.017;19.584;20.008;20.111;20.214;20.318;20.421;20.524;20.586;20.648;20.71;20.771;20.832;20.46;20.088;19.716;19.344;18.987;18.769;18.689;18.61;18.53;18.45;18.37;18.291;18.211;18.131;18.051;17.972;17.892;17.812;17.733;17.653;17.034;16.415;15.796;15.177;14.559;13.94;13.321;12.702;12.083;11.464
169;0;0.96;1.921;2.881;3.841;4.022;4.453;5.271;5.893;6.479;7.106;7.533;8.136;8.68;9.199;9.629;10.75;12.039;12.703;13.192;13.846;14.612;15.347;15.735;16.55;17.2;18.005;18.227;18.851;19.42;19.838;19.936;20.033;20.131;20.229;20.327;20.405;20.483;20.561;20.639;20.717;20.348;19.979;19.61;19.242;18.884;18.581;18.484;18.415;18.346;18.277;18.208;18.139;18.07;18.001;17.932;17.863;17.794;17.726;17.657;17.588;16.972;16.356;15.74;15.124;14.508;13.893;13.277;12.661;12.045;11.429
170;0;0.953;1.906;2.859;3.811;3.982;4.413;5.216;5.837;6.429;7.051;7.472;8.064;8.596;9.097;9.529;10.622;11.906;12.568;13.049;13.701;14.453;15.175;15.557;16.359;17.011;17.833;18.064;18.686;19.258;19.669;19.761;19.853;19.946;20.038;20.13;20.224;20.319;20.413;20.507;20.602;20.236;19.87;19.505;19.139;18.781;18.481;18.279;18.22;18.162;18.104;18.046;17.988;17.93;17.871;17.813;17.755;17.697;17.639;17.581;17.522;16.91;16.297;15.684;15.071;14.458;13.845;13.233;12.62;12.007;11.394
171;0;0.945;1.891;2.836;3.781;3.939;4.373;5.16;5.782;6.377;6.998;7.415;7.999;8.523;9.019;9.456;10.539;11.823;12.48;12.959;13.616;14.358;15.07;15.446;16.234;16.893;17.733;17.966;18.593;19.17;19.579;19.667;19.755;19.843;19.932;20.02;20.113;20.205;20.298;20.391;20.484;20.122;19.76;19.398;19.035;18.683;18.386;18.09;18.009;17.962;17.915;17.868;17.82;17.773;17.726;17.679;17.631;17.584;17.537;17.489;17.442;16.833;16.225;15.616;15.007;14.398;13.789;13.18;12.572;11.963;11.354
172;0;0.938;1.876;2.813;3.751;3.897;4.333;5.105;5.727;6.324;6.946;7.357;7.934;8.45;8.942;9.383;10.456;11.74;12.392;12.868;13.53;14.263;14.965;15.336;16.108;16.775;17.633;17.868;18.5;19.082;19.488;19.573;19.657;19.741;19.825;19.91;20.001;20.092;20.183;20.275;20.366;20.007;19.649;19.29;18.932;18.586;18.292;17.998;17.798;17.762;17.726;17.689;17.653;17.616;17.58;17.544;17.507;17.471;17.435;17.398;17.362;16.757;16.152;15.548;14.943;14.338;13.733;13.128;12.523;11.919;11.314
173;0;0.93;1.861;2.791;3.721;3.854;4.293;5.05;5.672;6.271;6.893;7.299;7.869;8.378;8.864;9.31;10.374;11.657;12.304;12.778;13.445;14.167;14.859;15.226;15.983;16.657;17.532;17.771;18.408;18.994;19.398;19.478;19.559;19.639;19.719;19.799;19.889;19.979;20.069;20.158;20.248;19.893;19.538;19.183;18.828;18.488;18.197;17.906;17.615;17.562;17.536;17.511;17.485;17.46;17.434;17.409;17.383;17.358;17.333;17.307;17.282;16.681;16.08;15.479;14.879;14.278;13.677;13.076;12.475;11.875;11.274
174;0;0.923;1.846;2.768;3.691;3.811;4.253;4.995;5.617;6.219;6.84;7.242;7.803;8.305;8.786;9.238;10.291;11.575;12.217;12.688;13.36;14.072;14.754;15.115;15.857;16.539;17.432;17.673;18.315;18.907;19.308;19.384;19.46;19.536;19.613;19.689;19.777;19.865;19.954;20.042;20.13;19.779;19.427;19.076;18.724;18.39;18.102;17.814;17.526;17.361;17.347;17.332;17.318;17.303;17.289;17.274;17.26;17.245;17.231;17.216;17.201;16.605;16.008;15.411;14.814;14.218;13.621;13.024;12.427;11.83;11.234
175;0;0.92;1.841;2.761;3.681;3.796;4.238;4.975;5.595;6.2;6.822;7.22;7.78;8.278;8.758;9.213;10.261;11.545;12.185;12.655;13.328;14.037;14.716;15.075;15.812;16.496;17.395;17.638;18.281;18.878;19.276;19.35;19.424;19.499;19.573;19.647;19.735;19.824;19.912;20;20.088;19.738;19.387;19.036;18.686;18.352;18.065;17.778;17.491;17.204;17.173;17.167;17.161;17.154;17.148;17.142;17.136;17.13;17.124;17.117;17.111;16.522;15.933;15.344;14.755;14.166;13.577;12.988;12.398;11.809;11.22
176;0;0.918;1.835;2.753;3.671;3.781;4.223;4.955;5.573;6.182;6.804;7.198;7.757;8.251;8.729;9.187;10.231;11.514;12.153;12.621;13.296;14.002;14.677;15.035;15.767;16.453;17.359;17.603;18.248;18.85;19.244;19.316;19.389;19.461;19.533;19.605;19.694;19.782;19.87;19.958;20.047;19.697;19.347;18.997;18.647;18.314;18.028;17.741;17.455;17.169;16.999;17.001;17.004;17.006;17.008;17.01;17.012;17.014;17.017;17.019;17.021;16.44;15.858;15.277;14.695;14.114;13.532;12.951;12.37;11.788;11.207
177;0;0.915;1.83;2.746;3.661;3.766;4.208;4.935;5.552;6.163;6.785;7.176;7.733;8.225;8.701;9.162;10.201;11.484;12.121;12.588;13.265;13.967;14.639;14.995;15.722;16.409;17.322;17.568;18.214;18.821;19.212;19.283;19.353;19.423;19.493;19.564;19.652;19.74;19.828;19.917;20.005;19.656;19.307;18.958;18.609;18.276;17.99;17.705;17.419;17.133;16.848;16.836;16.846;16.857;16.867;16.878;16.889;16.899;16.91;16.92;16.931;16.357;15.783;15.209;14.636;14.062;13.488;12.915;12.341;11.767;11.193
178;0;0.913;1.825;2.738;3.651;3.751;4.193;4.915;5.53;6.145;6.767;7.155;7.71;8.198;8.673;9.137;10.17;11.454;12.089;12.554;13.233;13.932;14.6;14.955;15.677;16.366;17.285;17.532;18.181;18.793;19.181;19.249;19.317;19.385;19.454;19.522;19.61;19.698;19.787;19.875;19.963;19.615;19.267;18.918;18.57;18.238;17.953;17.668;17.383;17.098;16.814;16.67;16.689;16.708;16.727;16.746;16.765;16.784;16.803;16.821;16.84;16.274;15.708;15.142;14.576;14.01;13.444;12.878;12.312;11.746;11.18
179;0;0.91;1.82;2.731;3.641;3.736;4.177;4.895;5.508;6.127;6.749;7.133;7.686;8.171;8.644;9.112;10.14;11.424;12.058;12.521;13.201;13.897;14.562;14.915;15.632;16.322;17.248;17.497;18.148;18.764;19.149;19.215;19.281;19.348;19.414;19.48;19.568;19.656;19.745;19.833;19.921;19.574;19.227;18.879;18.532;18.2;17.916;17.632;17.348;17.063;16.779;16.505;16.532;16.559;16.587;16.614;16.641;16.668;16.696;16.723;16.75;16.192;15.633;15.075;14.517;13.958;13.4;12.842;12.283;11.725;11.167
180;0;0.908;1.815;2.723;3.631;3.721;4.162;4.875;5.486;6.108;6.73;7.111;7.663;8.144;8.616;9.087;10.11;11.394;12.026;12.487;13.169;13.861;14.523;14.874;15.587;16.279;17.211;17.462;18.114;18.736;19.117;19.181;19.246;19.31;19.374;19.438;19.526;19.615;19.703;19.791;19.879;19.533;19.186;18.84;18.493;18.162;17.878;17.595;17.312;17.028;16.745;16.462;16.375;16.411;16.446;16.482;16.517;16.553;16.589;16.624;16.66;16.109;15.559;15.008;14.457;13.907;13.356;12.805;12.255;11.704;11.153
