twa/tws;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
31;0;0.769;1.539;2.308;3.078;4.115;4.87;5.335;5.537;5.046;5.397;5.509;6.496;6.793;6.947;7.072;7.254;7.427;7.694;7.672;7.726;7.189;6.251;7.88;8.024;7.571;7.456;6.448;6.343;6.779;7.008;7.055;7.102;7.149;7.196;7.243;7.233;7.223;7.214;7.204;7.194;7.066;6.939;6.811;6.683;6.556;6.428;6.3;6.172;6.045;5.917;5.789;5.662;5.534;5.406;5.279;5.151;5.023;4.896;4.768;4.64;4.53;4.419;4.308;4.198;4.087;3.977;3.866;3.755;3.645;3.534
32;0;0.797;1.595;2.392;3.19;4.263;5.045;5.567;5.777;5.266;5.637;5.767;6.78;7.091;7.252;7.382;7.573;7.753;8.024;7.994;8.064;7.522;6.56;8.225;8.375;7.924;7.803;6.77;6.66;7.111;7.352;7.4;7.448;7.496;7.545;7.593;7.581;7.569;7.557;7.545;7.533;7.4;7.267;7.134;7.001;6.868;6.735;6.602;6.469;6.336;6.204;6.071;5.938;5.805;5.672;5.539;5.406;5.273;5.14;5.007;4.875;4.757;4.64;4.523;4.405;4.288;4.17;4.053;3.936;3.818;3.701
33;0;0.838;1.676;2.514;3.353;4.452;5.248;5.775;5.994;5.463;5.856;6.022;7.002;7.322;7.489;7.623;7.82;8.006;8.253;8.235;8.327;7.825;6.886;8.492;8.648;8.242;8.118;7.115;7;7.454;7.706;7.753;7.801;7.848;7.896;7.944;7.926;7.908;7.89;7.872;7.853;7.717;7.581;7.444;7.308;7.171;7.035;6.899;6.762;6.626;6.489;6.353;6.217;6.08;5.944;5.807;5.671;5.535;5.398;5.262;5.125;4.999;4.872;4.745;4.618;4.492;4.365;4.238;4.111;3.985;3.858
34;0;0.879;1.758;2.637;3.516;4.641;5.451;5.983;6.211;5.659;6.076;6.276;7.224;7.553;7.726;7.864;8.067;8.26;8.483;8.475;8.591;8.127;7.212;8.759;8.922;8.561;8.433;7.46;7.339;7.796;8.059;8.106;8.153;8.201;8.248;8.295;8.271;8.247;8.223;8.199;8.174;8.035;7.895;7.755;7.615;7.475;7.335;7.195;7.055;6.915;6.775;6.635;6.495;6.356;6.216;6.076;5.936;5.796;5.656;5.516;5.376;5.24;5.104;4.968;4.831;4.695;4.559;4.423;4.287;4.151;4.015
35;0;0.92;1.839;2.759;3.679;4.831;5.654;6.191;6.428;5.856;6.295;6.531;7.446;7.783;7.963;8.104;8.314;8.513;8.712;8.716;8.854;8.429;7.538;9.026;9.195;8.879;8.747;7.805;7.679;8.138;8.413;8.459;8.506;8.553;8.599;8.646;8.616;8.586;8.556;8.526;8.495;8.352;8.209;8.065;7.922;7.778;7.635;7.491;7.348;7.205;7.061;6.918;6.774;6.631;6.487;6.344;6.201;6.057;5.914;5.77;5.627;5.481;5.336;5.19;5.045;4.899;4.753;4.608;4.462;4.317;4.171
36;0;0.96;1.921;2.881;3.841;5.02;5.858;6.399;6.645;6.053;6.514;6.785;7.668;8.014;8.2;8.345;8.561;8.766;8.942;8.957;9.117;8.731;7.864;9.293;9.468;9.198;9.062;8.149;8.019;8.48;8.766;8.812;8.858;8.905;8.951;8.997;8.961;8.925;8.889;8.852;8.816;8.669;8.522;8.376;8.229;8.082;7.935;7.788;7.641;7.494;7.347;7.2;7.053;6.906;6.759;6.612;6.465;6.318;6.171;6.025;5.878;5.723;5.568;5.413;5.258;5.103;4.948;4.793;4.638;4.483;4.328
37;0;1.001;2.002;3.003;4.004;5.209;6.061;6.607;6.862;6.25;6.734;7.04;7.89;8.245;8.436;8.586;8.808;9.019;9.171;9.198;9.381;9.033;8.189;9.56;9.742;9.516;9.377;8.494;8.359;8.823;9.12;9.165;9.211;9.257;9.302;9.348;9.306;9.264;9.222;9.179;9.137;8.987;8.836;8.686;8.536;8.385;8.235;8.084;7.934;7.783;7.633;7.482;7.332;7.181;7.031;6.881;6.73;6.58;6.429;6.279;6.128;5.964;5.8;5.635;5.471;5.306;5.142;4.978;4.813;4.649;4.485
38;0;1.042;2.084;3.126;4.167;5.399;6.264;6.815;7.079;6.447;6.953;7.294;8.112;8.475;8.673;8.826;9.055;9.273;9.401;9.438;9.644;9.335;8.515;9.827;10.015;9.834;9.691;8.839;8.699;9.165;9.473;9.518;9.564;9.609;9.654;9.699;9.651;9.603;9.555;9.506;9.458;9.304;9.15;8.996;8.842;8.688;8.535;8.381;8.227;8.073;7.919;7.765;7.611;7.457;7.303;7.149;6.995;6.841;6.687;6.533;6.379;6.205;6.032;5.858;5.684;5.51;5.336;5.163;4.989;4.815;4.641
39;0;1.083;2.165;3.248;4.33;5.588;6.467;7.024;7.296;6.644;7.173;7.549;8.334;8.706;8.91;9.067;9.302;9.526;9.63;9.679;9.907;9.638;8.841;10.094;10.288;10.153;10.006;9.184;9.038;9.507;9.827;9.872;9.916;9.961;10.005;10.05;9.996;9.942;9.888;9.833;9.779;9.622;9.464;9.307;9.149;8.992;8.834;8.677;8.519;8.362;8.205;8.047;7.89;7.732;7.575;7.417;7.26;7.102;6.945;6.787;6.63;6.447;6.263;6.08;5.897;5.714;5.531;5.348;5.164;4.981;4.798
40;0;1.123;2.247;3.37;4.493;5.777;6.67;7.232;7.512;6.84;7.392;7.803;8.556;8.937;9.147;9.308;9.549;9.779;9.859;9.92;10.17;9.94;9.167;10.361;10.562;10.471;10.321;9.529;9.378;9.849;10.18;10.225;10.269;10.313;10.357;10.401;10.341;10.281;10.221;10.16;10.1;9.939;9.778;9.617;9.456;9.295;9.134;8.973;8.812;8.651;8.49;8.329;8.168;8.007;7.846;7.685;7.525;7.364;7.203;7.042;6.881;6.688;6.495;6.303;6.11;5.918;5.725;5.533;5.34;5.147;4.955
